Date,Open,High,Low,Close,Adj Close,Volume
2015-05-29,19800.0,19875.0,19695.0,19810.0,14919.0771484375,1.0
2015-06-01,19305.0,19305.0,19305.0,19305.0,14538.7548828125,1.0
2015-06-02,19305.0,19305.0,19305.0,19305.0,14538.7548828125,0.0
2015-06-03,20430.0,20430.0,20000.0,20000.0,15062.166015625,1.0
2015-06-04,19000.0,19000.0,18850.0,18850.0,14196.08984375,2.0
2015-06-05,19955.0,19955.0,19655.0,19655.0,14802.345703125,1.0
2015-06-08,19900.0,19900.0,19057.5,19455.0,14651.724609375,2.0
2015-06-09,19995.0,19995.0,19705.0,19705.0,14840.0,1.0
2015-06-10,20530.0,20530.0,20355.0,20355.0,15329.51953125,1.0
2015-06-11,20335.0,20335.0,20000.0,20000.0,15062.166015625,1.0
2015-06-12,20000.0,20000.0,20000.0,20000.0,15062.166015625,0.0
2015-06-15,18500.0,19315.0,18500.0,19290.0,14527.458984375,2.0
2015-06-16,19195.0,19200.0,19195.0,19195.0,14455.9130859375,3.0
2015-06-17,19540.0,19540.0,19540.0,19540.0,14715.73828125,1.0
2015-06-18,19285.0,19285.0,19285.0,19285.0,14523.6953125,0.0
2015-06-19,18865.0,18865.0,17910.0,18015.0,13567.2490234375,12.0
2015-06-22,17700.0,17700.0,17700.0,17700.0,13330.017578125,0.0
2015-06-23,19235.0,19270.0,19235.0,19270.0,14512.396484375,1.0
2015-06-24,19270.0,19270.0,19270.0,19270.0,14512.396484375,0.0
2015-06-25,18500.0,18500.0,18500.0,18500.0,13932.50390625,0.0
2015-06-26,17985.0,17985.0,17500.0,17500.0,13179.3955078125,1.0
2015-06-29,16910.0,16910.0,16235.0,16235.0,12226.71484375,7.0
2015-06-30,16510.0,16510.0,16275.0,16500.0,12426.287109375,3.0
2015-07-01,15940.0,16375.0,14805.0,14805.0,11149.76953125,2.0
2015-07-02,14850.0,14850.0,14850.0,14850.0,11183.6572265625,1.0
2015-07-06,13790.0,13845.0,13300.0,13380.0,10076.5888671875,13.0
2015-07-07,13000.0,14630.0,12250.0,14630.0,11017.974609375,6.0
2015-07-08,14560.0,14560.0,12696.0,12955.0,9756.5166015625,6.0
2015-07-09,14235.0,14262.5,13774.0,13774.0,10373.314453125,6.0
2015-07-10,13375.0,13375.0,13235.0,13235.0,9967.3896484375,2.0
2015-07-13,13210.0,13210.0,13105.0,13105.0,9869.4853515625,1.0
2015-07-14,13285.0,14675.0,13285.0,14675.0,11051.8642578125,5.0
2015-07-15,14250.0,14323.5,12785.0,13040.0,9820.5322265625,19.0
2015-07-16,13095.0,13095.0,12500.0,12565.0,9462.8056640625,8.0
2015-07-17,12000.0,12040.0,11525.0,11525.0,8679.57421875,16.0
2015-07-20,11250.0,11250.0,10225.0,10270.0,7734.42138671875,25.0
2015-07-21,10635.0,11185.0,10375.0,10470.0,7885.04541015625,32.0
2015-07-22,9920.0,10150.0,9755.5,9807.0,7385.732421875,14.0
2015-07-23,9960.0,9990.0,9375.0,9875.0,7436.9443359375,22.0
2015-07-24,9900.0,9950.0,8795.0,8930.0,6725.25732421875,25.0
2015-07-27,8545.0,8735.0,8100.0,8135.0,6126.5361328125,32.0
2015-07-28,8255.0,9105.0,8050.0,9085.0,6841.9892578125,73.0
2015-07-29,8880.0,10155.0,8880.0,9870.0,7433.177734375,285.0
2015-07-30,9705.0,9940.0,9100.0,9285.0,6992.61083984375,39.0
2015-07-31,9020.0,9200.0,8675.0,8675.0,6533.21533203125,14.0
2015-08-03,8170.0,8555.5,7795.0,7852.0,5913.40673828125,115.0
2015-08-04,8250.0,8525.0,7645.0,7900.0,5949.55615234375,107.0
2015-08-05,8410.0,8490.0,7575.0,7730.0,5821.52783203125,30.0
2015-08-06,7370.0,8670.0,7370.0,8670.0,6529.44921875,94.0
2015-08-07,8420.0,8795.0,7780.0,7875.0,5930.7275390625,86.0
2015-08-10,8014.0,9480.0,7990.0,9465.0,7128.17041015625,51.0
2015-08-11,8535.0,9400.0,8420.0,9400.0,7079.21728515625,91.0
2015-08-12,9425.0,10160.0,9215.0,10075.0,7587.56689453125,53.0
2015-08-13,9955.0,9955.0,9026.0,9255.0,6970.0166015625,233.0
2015-08-14,9500.0,9585.0,8920.0,9005.0,6781.74072265625,184.0
2015-08-17,9100.0,9215.0,8800.0,8950.0,6740.31884765625,21.0
2015-08-18,8785.0,9180.0,8675.0,8925.0,6721.49267578125,20.0
2015-08-19,9034.5,9034.5,7765.0,8055.0,6066.2880859375,102.0
2015-08-20,8015.0,8120.0,7400.0,7405.0,5576.7666015625,158.0
2015-08-21,7130.0,7270.0,6595.0,6652.5,5010.052734375,280.0
2015-08-24,5500.0,6380.0,5450.0,5660.0,4262.5927734375,265.0
2015-08-25,6275.0,6328.0,5225.0,5225.0,3934.990966796875,248.0
2015-08-26,5610.0,5620.0,5167.0,5575.0,4198.57861328125,72.0
2015-08-27,6150.0,6965.0,6100.0,6725.0,5064.65380859375,421.0
2015-08-28,6710.0,7885.0,6710.0,7390.0,5565.47021484375,419.0
2015-08-31,7425.0,8230.0,6765.0,8050.0,6062.52197265625,380.0
2015-09-01,7250.0,7610.0,6565.0,6760.0,5091.0107421875,230.0
2015-09-02,7125.0,7150.0,6175.0,6995.0,5267.99365234375,198.0
2015-09-03,7250.0,7760.0,6965.5,7120.0,5362.130859375,130.0
2015-09-04,7000.0,7000.0,6590.0,6715.0,5057.12158203125,101.0
2015-09-08,7010.0,7240.0,6528.5,7100.0,5347.0693359375,85.0
2015-09-09,7360.0,7645.0,6500.0,6510.0,4902.73583984375,112.0
2015-09-10,6730.0,6885.0,6300.0,6664.0,5018.7138671875,129.0
2015-09-11,6355.0,6400.0,5945.0,6265.0,4718.22412109375,173.0
2015-09-14,6130.0,6130.0,5800.0,5866.0,4417.73388671875,98.0
2015-09-15,5995.0,6270.0,5940.0,6155.0,4635.38232421875,279.0
2015-09-16,6450.0,7080.0,6450.0,7050.0,5309.41357421875,212.0
2015-09-17,7005.0,7485.0,6908.5,6922.5,5213.39208984375,107.0
2015-09-18,6500.0,6510.0,6136.0,6165.0,4642.9130859375,133.0
2015-09-21,6455.0,6530.0,6175.0,6180.0,4654.20947265625,103.0
2015-09-22,5935.0,6255.5,5750.0,5945.0,4477.228515625,109.0
2015-09-23,6050.0,6055.0,5705.0,5705.0,4296.48291015625,122.0
2015-09-24,5500.0,5615.0,5075.0,5445.0,4100.673828125,479.0
2015-09-25,5635.0,5800.0,5180.0,5285.0,3980.17724609375,246.0
2015-09-28,5100.0,5144.0,4465.0,4480.0,3373.925537109375,392.0
2015-09-29,4660.0,4810.0,4450.0,4565.0,3437.939453125,209.0
2015-09-30,4805.0,5025.0,4675.0,4950.0,3727.88623046875,112.0
2015-10-01,5280.0,5609.5,4960.5,5140.0,3870.976806640625,119.0
2015-10-02,5125.0,6050.0,4950.0,6020.0,4533.71240234375,426.0
2015-10-05,6375.0,7010.0,6340.0,7000.0,5271.75830078125,466.0
2015-10-06,7075.0,8140.0,6865.0,8040.0,6054.9912109375,659.0
2015-10-07,8775.0,8995.0,7385.0,8130.0,6122.77099609375,653.0
2015-10-08,8180.0,9205.0,7845.0,9045.0,6811.86474609375,397.0
2015-10-09,9250.0,9250.0,8225.0,8645.0,6510.62158203125,237.0
2015-10-12,8505.0,8505.0,7325.0,7742.5,5830.94140625,255.0
2015-10-13,7470.0,8050.0,7230.0,7255.0,5463.80126953125,223.0
2015-10-14,7220.0,7606.0,7100.0,7475.0,5629.48486328125,107.0
2015-10-15,7375.0,8165.0,7180.0,8110.0,6107.70947265625,181.0
2015-10-16,8440.0,8440.0,7750.0,8210.0,6183.01953125,73.0
2015-10-19,8120.0,8120.0,7130.0,7315.0,5508.9873046875,235.0
2015-10-20,7265.0,7865.0,7140.0,7475.0,5629.48486328125,100.0
2015-10-21,7240.0,7476.0,6720.5,6785.0,5109.8388671875,181.0
2015-10-22,7080.0,7146.0,6560.0,6840.0,5151.26123046875,148.0
2015-10-23,6640.0,7050.0,6495.0,6765.0,5094.77783203125,93.0
2015-10-26,6775.0,6775.0,6235.0,6235.0,4695.63037109375,124.0
2015-10-27,5910.0,5935.0,5550.0,5718.5,4306.64990234375,626.0
2015-10-28,5880.0,6575.0,5650.0,6360.0,4789.7685546875,486.0
2015-10-29,6500.0,6965.0,6455.0,6475.0,4876.37744140625,215.0
2015-10-30,6610.0,6980.0,6090.0,6720.0,5060.88818359375,232.0
2015-11-02,6750.0,7375.0,6500.0,7215.0,5433.67626953125,266.0
2015-11-03,7470.0,8276.5,7470.0,8000.0,6024.86572265625,374.0
2015-11-04,8080.0,8369.0,7375.0,7795.0,5870.47998046875,214.0
2015-11-05,7910.0,8535.0,7481.0,7895.0,5945.79052734375,319.0
2015-11-06,7895.0,8090.0,7550.0,7760.0,5844.12109375,115.0
2015-11-09,7975.0,8250.0,7610.0,7855.0,5915.66552734375,95.0
2015-11-10,7740.0,8165.0,7574.5,7920.0,5964.61865234375,141.0
2015-11-11,7880.0,7925.0,6885.0,6925.0,5215.275390625,274.0
2015-11-12,6470.0,6755.0,6205.0,6270.0,4721.98876953125,436.0
2015-11-13,6260.0,6579.5,5890.0,6380.0,4804.8310546875,200.0
2015-11-16,6530.0,7215.0,6365.0,7215.0,5433.67626953125,435.0
2015-11-17,7115.0,7175.0,6655.0,6780.0,5106.07421875,161.0
2015-11-18,7025.0,7250.0,6543.0,7175.0,5403.5517578125,277.0
2015-11-19,6865.0,7075.0,6315.0,6625.0,4989.34228515625,328.0
2015-11-20,6530.0,6715.0,6175.0,6195.0,4665.50634765625,221.0
2015-11-23,6185.0,6509.0,6040.0,6340.0,4774.70654296875,170.0
2015-11-24,6630.0,7175.0,6535.0,7020.0,5286.82080078125,375.0
2015-11-25,6805.0,7186.0,6550.0,6930.0,5219.04052734375,256.0
2015-11-27,6640.0,6775.0,6375.0,6475.0,4876.37744140625,245.0
2015-11-30,6530.0,6925.0,6485.0,6555.0,4936.625,236.0
2015-12-01,6665.0,6715.0,6575.0,6695.0,5042.06005859375,93.0
2015-12-02,6450.0,6515.0,5750.0,5858.0,4411.70849609375,624.0
2015-12-03,6125.0,6125.0,5536.0,5605.0,4221.1728515625,441.0
2015-12-04,5410.0,5499.5,4950.0,5170.0,3893.570068359375,480.0
2015-12-07,4740.0,4740.0,3945.0,3945.0,2971.01220703125,1498.0
2015-12-08,3810.0,4300.0,3715.0,4180.0,3147.992919921875,657.0
2015-12-09,4250.0,4740.0,4050.0,4260.5,3208.6181640625,479.0
2015-12-10,4170.0,4610.0,4100.0,4505.0,3392.7529296875,224.0
2015-12-11,4390.0,4390.0,3815.0,3855.0,2903.23291015625,1390.0
2015-12-14,3755.0,3795.0,3425.0,3570.0,2688.5966796875,1703.0
2015-12-15,3790.0,3890.0,3645.0,3770.0,2839.21826171875,644.0
2015-12-16,3780.0,3850.0,3440.0,3510.0,2643.410400390625,1049.0
2015-12-17,3620.0,3620.0,3050.0,3175.0,2391.11865234375,1376.0
2015-12-18,3170.0,3274.0,3025.0,3027.5,2280.03564453125,651.0
2015-12-21,2995.0,3040.0,2795.0,2890.0,2176.4833984375,836.0
2015-12-22,2905.0,3095.0,2850.0,2990.0,2251.793701171875,701.0
2015-12-23,3275.0,3700.0,3228.5,3700.0,2786.500732421875,1796.0
2015-12-24,3750.0,3760.0,3470.0,3615.0,2722.486572265625,613.0
2015-12-28,3460.0,3460.0,3150.0,3217.0,2422.74951171875,571.0
2015-12-29,3430.0,3500.0,3195.0,3370.0,2537.975341796875,942.0
2015-12-30,3205.0,3375.0,3075.0,3090.0,2327.104736328125,718.0
2015-12-31,3030.0,3345.0,3030.0,3315.0,2496.553955078125,651.0
2016-01-04,3365.0,3509.0,3125.0,3375.0,2541.740966796875,657.0
2016-01-05,3315.0,3345.0,3135.0,3340.0,2515.3818359375,362.0
2016-01-06,3025.0,3065.0,2569.0,2640.0,1988.20654296875,3582.0
2016-01-07,2500.0,2750.0,2400.0,2462.5,1854.5294189453125,1508.0
2016-01-08,2550.0,2585.0,2325.0,2471.0,1860.9306640625,1250.0
2016-01-11,2500.0,2505.0,2075.0,2190.0,1649.3072509765625,1959.0
2016-01-12,2390.0,2390.0,1855.0,2085.0,1570.230712890625,4061.0
