
75,NEE,"NextEra Energy, Inc.",120.29B,58.63,-1.10%,27.40B
76,PLD,"Prologis, Inc.",117.06B,126.69,0.13%,7.89B
77,MDT,Medtronic plc,116.40B,87.54,0.66%,31.96B
78,ELV,Elevance Health Inc.,115.94B,493.44,0.22%,168.62B
79,BLK,"BlackRock, Inc.",115.19B,774.31,-0.95%,17.57B
80,VRTX,Vertex Pharmaceuticals Incorporated,111.67B,433.38,-2.85%,9.65B
81,SCHW,The Charles Schwab Corporation,111.52B,62.92,-2.27%,16.51B
82,DE,Deere & Company,110.20B,393.58,-0.84%,61.25B
83,LRCX,Lam Research Corporation,108.75B,825.17,-1.27%,14.32B
84,TJX,"The TJX Companies, Inc.",108.17B,94.91,-1.97%,52.33B
85,C,Citigroup Inc.,107.50B,56.17,-1.61%,79.03B
86,PANW,"Palo Alto Networks, Inc.",106.73B,338.51,-2.13%,7.21B
87,SBUX,Starbucks Corporation,105.33B,93.03,-1.12%,36.69B
88,PGR,The Progressive Corporation,104.33B,178.25,-0.81%,58.69B
89,LMT,Lockheed Martin Corporation,103.76B,429.41,-0.53%,67.57B
90,MDLZ,"Mondelez International, Inc.",102.43B,75.27,-1.40%,36.02B
91,ADP,"Automatic Data Processing, Inc.",101.09B,245.78,3.01%,18.10B
92,REGN,"Regeneron Pharmaceuticals, Inc.",101.00B,942.78,-1.77%,13.10B
93,CB,Chubb Limited,99.96B,245.00,0.75%,48.17B
94,BMY,Bristol-Myers Squibb Company,99.44B,48.87,-1.05%,44.94B
95,ETN,Eaton Corporation plc,98.26B,246.08,-1.67%,22.61B
96,GILD,"Gilead Sciences, Inc.",97.52B,78.26,-0.46%,27.39B
97,CVS,CVS Health Corporation,95.71B,74.37,0.70%,347.81B
98,MMC,"Marsh & McLennan Companies, Inc.",95.58B,193.84,0.42%,22.74B
99,ADI,"Analog Devices, Inc.",95.38B,192.36,-1.22%,12.31B
100,MU,"Micron Technology, Inc.",94.66B,85.75,-0.48%,16.18B
101,ABNB,"Airbnb, Inc.",93.60B,144.14,-3.55%,9.60B
102,BSX,Boston Scientific Corporation,92.67B,63.26,3.00%,13.76B
103,AMT,American Tower Corporation,91.21B,195.65,0.05%,11.06B
104,CI,Cigna Corporation,88.06B,300.95,0.67%,189.90B
105,ZTS,Zoetis Inc.,86.23B,187.81,-1.89%,8.37B
106,FI,"Fiserv, Inc.",85.15B,141.87,-1.51%,18.81B
107,HCA,"HCA Healthcare, Inc.",81.61B,304.90,1.10%,63.16B
108,SNPS,"Synopsys, Inc.",81.35B,533.35,-1.81%,5.84B
