Date,Adj Close,Close,High,Low,Open,Volume,Buy,Sell
2020-01-02,90.63951873779295,96.25,96.25,94.66000366210938,95.5,903800,,
2020-01-03,89.01036071777344,94.5199966430664,95.45999908447266,93.02999877929688,93.19000244140624,474800,,
2020-01-06,89.05744171142578,94.56999969482422,94.63999938964844,92.30999755859376,92.5,449200,,
2020-01-07,87.36237335205078,92.7699966430664,94.2699966430664,92.72000122070312,94.01000213623048,433300,,
2020-01-08,89.19869995117188,94.72000122070312,95.87999725341795,92.62999725341795,92.94000244140624,674600,94.72000122070312,
2020-01-09,90.94087982177734,96.56999969482422,96.7300033569336,95.62000274658205,96.1999969482422,386400,,
2020-01-10,89.98033905029297,95.5500030517578,97.0,95.2300033569336,96.91999816894533,425200,,
2020-01-13,92.40052032470705,98.12000274658205,98.12000274658205,95.86000061035156,96.37999725341795,595900,,
2020-01-14,91.45880126953124,97.12000274658205,98.70999908447266,96.6999969482422,98.66000366210938,1131100,,
2020-01-15,91.67539978027344,97.3499984741211,98.02999877929688,96.0,96.4000015258789,416500,,
2020-01-16,94.12384796142578,99.9499969482422,99.9499969482422,98.30999755859376,98.54000091552734,836200,,
2020-01-17,95.31981658935548,101.22000122070312,101.41000366210938,100.2300033569336,101.0,728600,,
2020-01-21,94.4911117553711,100.33999633789062,101.80999755859376,100.06999969482422,100.1500015258789,483200,,
2020-01-22,94.93372344970705,100.80999755859376,102.23999786376952,100.41000366210938,101.4000015258789,425600,,
2020-01-23,95.12206268310548,101.01000213623048,101.25,98.63999938964844,100.1999969482422,422100,,
2020-01-24,92.31575775146484,98.02999877929688,101.26000213623048,96.5999984741211,101.26000213623048,841300,,98.02999877929688
2020-01-27,88.58660888671875,94.06999969482422,95.26000213623048,92.25,93.0,798100,,
2020-01-28,90.98796844482422,96.62000274658205,97.76000213623048,94.9000015258789,95.41999816894533,525400,,
2020-01-29,90.81844329833984,96.44000244140624,98.4499969482422,96.37000274658205,97.87000274658205,346800,96.44000244140624,
2020-01-30,93.37047576904295,99.1500015258789,99.36000061035156,94.1999969482422,94.4000015258789,790300,,
2020-01-31,87.65431213378906,93.08000183105467,97.27999877929688,92.04000091552734,97.0500030517578,1159000,,93.08000183105467
2020-02-03,89.72605895996094,95.27999877929688,97.41999816894533,94.41000366210938,94.91999816894533,704000,,
2020-02-04,92.80545806884766,98.5500030517578,100.44000244140624,98.27999877929688,98.27999877929688,649000,98.5500030517578,
2020-02-05,96.00727081298828,101.9499969482422,102.0199966430664,100.22000122070312,101.41000366210938,832200,,
